Москва,Численность населения 12 635 466
Санкт-Петербург,Численность населения 5 377 503
Новосибирск (Новосибирская область),Численность населения 1 621 330
Екатеринбург (Свердловская область),Численность населения 1 493 600
Казань (Республика Татарстан),Численность населения 1 259 173
Нижний Новгород (Нижегородская область),Численность населения 1 233 949
Челябинск (Челябинская область),Численность населения 1 179 288
Самара (Самарская область),Численность населения 1 136 709
Уфа (Республика Башкортостан),Численность населения 1 135 061
Ростов-на-Дону (Ростовская область),Численность населения 1 134 694
Омск (Омская область),Численность населения 1 126 193
Красноярск (Красноярский край),Численность населения 1 103 023
Воронеж (Воронежская область),Численность населения 1 048 738
Пермь (Пермский край),Численность населения 1 042 763
Волгоград (Волгоградская область),Численность населения 1 001 183
