Краснодар (Краснодарский край),Количество жителей 974 319
Тюмень (Тюменская область),Количество жителей 828 575
Саратов (Саратовская область),Количество жителей 818 383
Тольятти (Самарская область),Численность населения 685 619
Ижевск (Удмуртская Республика),Численность населения 645 183
Барнаул (Алтайский край),Количество жителей 627 789
Ульяновск (Ульяновская область),Численность населения 622 868
Иркутск (Иркутская область),Количество жителей 617 249
Хабаровск (Хабаровский край),Количество жителей 613 480
Махачкала (Республика Дагестан),Количество жителей 603 614
Владивосток (Приморский край),Численность населения 601 270
Ярославль (Ярославская область),Численность населения 593 958
Оренбург (Оренбургская область),Численность населения 572 308
Томск (Томская область),Количество жителей 570 776
Кемерово (Кемеровская область),Количество жителей 548 177
Новокузнецк ,Численность населения 539 863
Рязань (Рязанская область),Количество жителей 529 401
Набережные Челны (Республика Татарстан),Численность населения 528 366
Киров (Кировская область),Численность населения 523 543
Севастополь,Количество жителей 522 057
Астрахань (Астраханская область),Численность населения 518 695
Балашиха (Московская область),Количество жителей 518 260
Пенза (Пензенская область),Количество жителей 509 513
