Жигулёвск (Самарская область),Численность населения 49 921
Кириши (Ленинградская область),Численность населения 49 609
Лесной (Свердловская область),Количество жителей 49 329
Черемхово (Иркутская область),Численность населения 49 233
Кизляр (Республика Дагестан),Численность населения 49 174
Назарово (Красноярский край),Количество жителей 48 940
Солнечногорск (Московская область),Численность населения 48 719
Узловая (Тульская область),Численность населения 48 393
Боровичи (Новгородская область),Численность населения 48 344
Можга (Удмуртская Республика),Количество жителей 48 256
Шелехов (Иркутская область),Количество жителей 47 680
Рославль (Смоленская область),Численность населения 47 417
Курганинск (Краснодарский край),Количество жителей 47 356
Балахна (Нижегородская область),Количество жителей 47 216
Аксай (Ростовская область),Количество жителей 47 177
Отрадный (Самарская область),Численность населения 46 919
Бугуруслан (Оренбургская область),Численность населения 46 870
Ливны (Орловская область),Количество жителей 46 779
Надым (Ямало-Ненецкий автономный округ),Количество жителей 46 445
Бирск (Республика Башкортостан),Количество жителей 46 438
Донецк (Ростовская область),Численность населения 46 339
Грязи (Липецкая область),Численность населения 46 054
Мегион (Ханты-Мансийский автономный округ - Югра),Численность населения 45 910
Кашира (Московская область),Численность населения 45 835
Лангепас (Ханты-Мансийский автономный округ - Югра),Численность населения 45 751
Заринск (Алтайский край),Количество жителей 44 923
Саяногорск (Республика Хакасия),Количество жителей 44 880
Карабулак (Республика Ингушетия),Численность населения 44 731
Радужный ,Количество жителей 44 436
Краснознаменск (Московская область),Численность населения 44 399
Канаш (Чувашская Республика - Чувашия),Численность населения 44 308
Берёзовский (Кемеровская область),Количество жителей 44 249
Кингисепп (Ленинградская область),Численность населения 43 875
Вышний Волочёк (Тверская область),Численность населения 43 688
Волхов (Ленинградская область),Численность населения 43 309
Рузаевка (Республика Мордовия),Численность населения 43 071
Куйбышев (Новосибирская область),Количество жителей 42 921
Чусовой (Пермский край),Численность населения 42 751
Торжок (Тверская область),Количество жителей 42 630
Кореновск (Краснодарский край),Численность населения 42 504
Горячий Ключ (Краснодарский край),Численность населения 42 273
Лянтор (Ханты-Мансийский автономный округ - Югра),Численность населения 42 160
Ярцево (Смоленская область),Количество жителей 42 126
